,Unnamed: 0,hydro_year,NivelConsistencia,Media,Predicted_Runoff,runoff_mm
97,97,1998,1.0,338.25,148.275,155.56393458649757
98,98,1999,1.0,337.86111111111114,148.12722222222226,133.77558872884805
99,99,2000,1.0,270.80555555555554,122.6461111111111,108.10208573054526
100,100,2001,1.0,229.66666666666663,107.01333333333332,101.19364368591312
101,101,2002,1.0,298.9166666666667,133.32833333333335,120.8484505052975
102,102,2003,1.0,283.5833333333333,127.50166666666665,108.11553187556146
103,103,2004,1.0,295.0,131.84,122.64015495564998
104,104,2005,1.0,255.5,116.83,103.92645674541248
105,105,2006,1.0,288.3333333333333,129.30666666666667,111.46968557928444
106,106,2007,1.0,368.25,159.675,152.17355686906674
107,107,2008,1.0,322.1111111111111,142.14222222222222,128.3203792082985
108,108,2009,1.0,222.58333333333331,104.32166666666666,92.91614369559072
109,109,2010,1.0,275.9,124.582,117.01999945395424
110,110,2011,1.0,313.4166666666667,138.83833333333334,139.09074586782947
111,111,2012,1.0,205.72727272727272,97.91636363636363,105.9018066367026
112,112,2013,1.0,212.3,100.414,96.76982146158775
113,113,2014,1.0,281.27272727272725,126.62363636363635,129.33985989134297
114,114,2015,1.0,342.8181818181818,150.0109090909091,142.4237107518031
115,115,2016,1.0,312.3636363636364,138.43818181818182,141.84781330608584
116,116,2017,1.0,272.5833333333333,123.32166666666666,99.37758582259193
117,117,2018,1.0,372.8333333333333,161.41666666666666,153.49268356583846
118,118,2019,1.0,301.75,134.405,142.39728662349876
119,119,2020,1.0,163.25,81.775,73.32430913018412
120,120,2021,1.0,81.08333333333333,50.55166666666666,56.99956369174844
121,121,2022,1.0,149.58333333333334,76.58166666666666,
