,Unnamed: 0,hydro_year,NivelConsistencia,Media,Predicted_Runoff,runoff_mm
0,0,1901,1.0,309.8333333333333,137.47666666666666,137.47666666666666
1,1,1902,1.0,313.8333333333333,138.99666666666667,138.99666666666667
2,2,1903,1.0,217.25,102.295,102.295
3,3,1904,1.0,302.4166666666667,134.65833333333333,134.65833333333333
4,4,1905,1.0,440.8333333333333,187.25666666666666,187.25666666666666
5,5,1906,1.0,369.0,159.96,159.96
6,6,1907,1.0,241.91666666666663,111.66833333333331,111.66833333333331
7,7,1908,1.0,263.5,119.86999999999999,119.86999999999999
8,8,1909,1.0,235.5,109.22999999999999,109.22999999999999
9,9,1910,1.0,104.83333333333331,59.576666666666654,59.576666666666654
10,10,1911,1.0,111.58333333333331,62.14166666666665,62.14166666666665
11,11,1912,1.0,271.0,122.72,122.72
12,12,1913,1.0,414.6666666666667,177.31333333333336,177.31333333333336
13,13,1914,1.0,260.1666666666667,118.60333333333334,118.60333333333334
14,14,1915,1.0,121.41666666666669,65.87833333333334,65.87833333333334
15,15,1916,1.0,154.58333333333334,78.48166666666667,78.48166666666667
16,16,1917,1.0,266.9166666666667,121.16833333333334,121.16833333333334
17,17,1918,1.0,221.75,104.005,104.005
18,18,1919,1.0,205.25,97.735,97.735
19,19,1920,1.0,403.25,172.97500000000002,172.97500000000002
20,20,1921,1.0,453.4166666666667,192.03833333333336,192.03833333333336
21,21,1922,1.0,296.5833333333333,132.44166666666666,132.44166666666666
22,22,1923,1.0,299.0833333333333,133.39166666666665,133.39166666666665
23,23,1924,1.0,289.3333333333333,129.68666666666667,129.68666666666667
24,24,1925,1.0,144.41666666666666,74.61833333333333,74.61833333333333
25,25,1926,1.0,321.0,141.72,141.72
26,26,1927,1.0,290.5833333333333,130.16166666666666,130.16166666666666
27,27,1928,1.0,182.08333333333331,88.93166666666666,88.93166666666666
28,28,1929,1.0,301.4166666666667,134.27833333333334,134.27833333333334
29,29,1930,1.0,330.6666666666667,145.39333333333335,145.39333333333335
30,30,1931,1.0,342.1666666666667,149.76333333333335,149.76333333333335
31,31,1932,1.0,402.75,172.78500000000003,172.78500000000003
32,32,1933,1.0,375.8333333333333,162.55666666666667,162.55666666666667
33,33,1934,1.0,272.3333333333333,123.22666666666666,123.22666666666666
34,34,1935,1.0,370.0833333333333,160.37166666666667,160.37166666666667
35,35,1936,1.0,228.0,106.38,106.38
36,36,1937,1.0,118.5,64.77,64.77
37,37,1938,1.0,99.33333333333331,57.486666666666665,57.486666666666665
38,38,1939,1.0,97.16666666666669,56.66333333333334,56.66333333333334
39,39,1940,1.0,247.75,113.88499999999999,113.88499999999999
40,40,1941,1.0,176.91666666666666,86.96833333333332,86.96833333333332
41,41,1942,1.0,235.41666666666663,109.19833333333331,109.19833333333331
42,42,1943,1.0,294.9166666666667,131.80833333333334,131.80833333333334
43,43,1944,1.0,190.41666666666663,92.09833333333331,92.09833333333331
